"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"524","GSW","SG","Moses Moody",52,4.4,1.5,0.4,0.1,0.2,2,0.2,0.3
"525","LAC","SG","Xavier Moon",10,5.8,1.4,2.4,0.7,0.3,2.6,0.2,0.6
"526","NYK","SG","Matt Mooney",1,0,0,0,1,0,1,0,1
"527","MEM","PG","Ja Morant",57,27.4,5.7,6.7,1.2,0.4,10.4,1.8,3.4
"528","TOT","PF","Juwan Morgan",2,2.5,2,0.5,0,0,0.5,0,0
"529","TOR","PF","Juwan Morgan",1,5,4,1,0,0,1,0,0
"530","BOS","PF","Juwan Morgan",1,0,0,0,0,0,0,0,0
"531","SAS","SG","Jaylen Morris",3,0.7,0.7,0.7,0,0,2,0.6,0.3
"532","LAC","PF","Marcus Morris",54,15.4,4.4,2.1,0.5,0.3,7.2,0.3,1.3
"533","MIA","PF","Markieff Morris",17,7.6,2.6,1.4,0.4,0.1,3.5,0,1.2
"534","DEN","PG","Monte Morris",75,12.6,3,4.4,0.7,0.2,5.3,0.1,1
"535","SAC","PG","Emmanuel Mudiay",2,1.5,0,2,0.5,0,1,0.5,0.5
"536","TOT","PG","Mychal Mulder",17,4.1,1.4,0.3,0.2,0.1,3.1,0,0.5
"537","ORL","PG","Mychal Mulder",15,3.7,1.4,0.2,0.3,0.1,3.2,0,0.5
"538","MIA","PG","Mychal Mulder",2,7,1.5,1,0,0.5,3,0,0
"539","SAC","SG","Ade Murkey",1,0,0,0,0,0,0,0,0
"540","NOP","SF","Trey Murphy III",62,5.4,2.4,0.6,0.4,0.1,2.7,0.1,0.3
"541","SAS","PG","Dejounte Murray",68,21.1,8.3,9.2,2,0.3,9.9,0.7,2.6
"542","OKC","C","Mike Muscala",43,8,3,0.5,0.4,0.6,3.2,0.2,0.3
